key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
space,124.6700001,space,5.647000074,0.012820513,-0.332264957,1,0,0,,,7,0.18200016,1,0,5,0,1,4,121.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.300316122,-0.326132771,1,0,0,,,4,0.099999905,1,0,5,2,1,4,108.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.505795574,-0.333508957,1,0,0,,,2,0.119000196,1,0,5,3,1,4,138.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.303477345,-0.331401475,1,0,0,,,10,0.092999935,1,0,5,4,1,4,11.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.118018967,-0.335616438,1,0,0,,,6,0.078000069,1,0,5,1,1,4,148.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,65_20.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,space,7.228999853,0.014752371,-0.329293994,1,0,0,,,7,0.165999889,1,0,28,19,1,27,65.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,50_18.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.205479452,-0.332455216,1,0,0,,,5,0.164999962,1,0,28,17,1,27,50.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,44_16.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,0.178082192,-0.340885142,1,0,0,,,9,0.171000004,1,0,28,15,1,27,44.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,74_23.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.422550053,-0.361959958,1,0,0,,,2,10.58599997,1,0,28,22,1,27,74.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,93_26.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.318229715,-0.335616438,1,0,0,,,4,0.148000002,1,0,28,25,1,27,93.png,,,,,,,,,,,,,,,,,,,,,,,,,,
