key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
space,83.39199996,space,5.450999975,0.200925942,-0.335185254,1,0,0,,,9,0.230000019,1,0,5,3,1,4,138.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.29722224,-0.336111124,1,0,0,,,10,0.178999901,1,0,5,0,1,4,121.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.305555547,-0.339814884,1,0,0,,,4,0.160000086,1,0,5,1,1,4,148.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.005555569,-0.344444514,1,0,0,,,7,0.18599987,1,0,5,2,1,4,108.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.298148139,-0.343518531,1,0,0,,,4,0.18200016,1,0,5,4,1,4,11.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,99_28.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,space,8.219000101,-0.292592584,-0.356481494,1,0,0,,,4,0.160000086,1,0,28,27,1,27,99.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,11_3.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.301851843,-0.338888901,1,0,0,,,4,0.122999907,1,0,28,2,1,27,11.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,27_10.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.392592585,-0.343518531,1,0,0,,,3,0.130000114,1,0,28,9,1,27,27.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,65_20.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.210185202,-0.340740753,1,0,0,,,9,0.13499999,1,0,28,19,1,27,65.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,16_5.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.390740733,-0.33240742,1,0,0,,,3,0.124000072,1,0,28,4,1,27,16.png,,,,,,,,,,,,,,,,,,,,,,,,,,
