key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
space,64.48199987,space,5.353999853,0.311111147,-0.341666692,1,0,0,,,10,0.203999996,1,0,5,4,1,4,11.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.193518498,-0.336111136,1,0,0,,,5,0.201999903,1,0,5,1,1,4,148.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.197222202,-0.324074155,1,0,0,,,5,0.203999996,1,0,5,3,1,4,138.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.398148187,-0.351851934,1,0,0,,,11,0.205999851,1,0,5,0,1,4,121.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.203703736,-0.336111136,1,0,0,,,9,0.207000017,1,0,5,2,1,4,108.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2_6.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,space,8.032000065,0.020370397,-0.018518534,1,0,0,,,9,6.399000168,1,0,28,5,1,27,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,50_18.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.009259177,-0.346296378,1,0,0,,,7,0.207000017,1,0,28,17,1,27,50.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,42_14.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.118518496,-0.334259284,1,0,0,,,6,0.207000017,1,0,28,13,1,27,42.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,39_12.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.187037016,-0.336111136,1,0,0,,,5,0.204999924,1,0,28,11,1,27,39.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3_11.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,0.09074077,-0.350925951,1,0,0,,,8,0.203000069,1,0,28,10,1,27,3.png,,,,,,,,,,,,,,,,,,,,,,,,,,
