"img_names","cond","cueCol","polygonPos","trigger_integers"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg77.png","zero","[0,0.5,1]","lower.png","0"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg61.png","risk","[90,1,1]","upper.png","888"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg61.png","risk","[90,1,1]","upper.png","888"
"newImg52.png","risk","[90,1,1]","upper.png","666"
"newImg77.png","zero","[0,0.5,1]","lower.png","0"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg77.png","zero","[0,0.5,1]","lower.png","0"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg52.png","risk","[90,1,1]","upper.png","666"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg52.png","risk","[90,1,1]","upper.png","666"
"newImg43.png","risk","[90,1,1]","lower.png","444"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg77.png","zero","[0,0.5,1]","lower.png","0"
"newImg43.png","risk","[90,1,1]","lower.png","444"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg77.png","zero","[0,0.5,1]","upper.png","0"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg43.png","risk","[90,1,1]","lower.png","444"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg61.png","risk","[90,1,1]","upper.png","888"
"newImg43.png","risk","[90,1,1]","lower.png","444"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg61.png","risk","[90,1,1]","lower.png","888"
"newImg43.png","risk","[90,1,1]","upper.png","444"
"newImg52.png","risk","[90,1,1]","lower.png","666"
"newImg61.png","risk","[90,1,1]","upper.png","888"
"newImg43.png","risk","[90,1,1]","upper.png","444"
