img_names,cond,cueCol,polygonPos,trigger_integers,order
Soc_82.png,zero,"[90,1,1]",upper.png,771,1
Soc_73.png,risk,"[90,1,1]",lower.png,662,2
Soc_37.png,risk,"[90,1,1]",lower.png,226,3
Soc_73.png,risk,"[90,1,1]",upper.png,662,4
Soc_73.png,risk,"[90,1,1]",upper.png,662,5
Soc_46.png,risk,"[90,1,1]",upper.png,335,6
Soc_73.png,risk,"[90,1,1]",upper.png,662,7
Soc_64.png,risk,"[90,1,1]",upper.png,553,8
Soc_37.png,risk,"[90,1,1]",upper.png,226,9
Soc_73.png,risk,"[90,1,1]",lower.png,662,10
Soc_28.png,risk,"[90,1,1]",upper.png,117,11
Soc_64.png,risk,"[90,1,1]",lower.png,553,12
Soc_55.png,risk,"[0,0.5,1]",upper.png,444,13
Soc_64.png,risk,"[90,1,1]",lower.png,553,14
Soc_28.png,risk,"[90,1,1]",upper.png,117,15
Soc_46.png,risk,"[90,1,1]",upper.png,335,16
Soc_46.png,risk,"[90,1,1]",lower.png,335,17
Soc_64.png,risk,"[90,1,1]",lower.png,553,18
Soc_28.png,risk,"[90,1,1]",lower.png,117,19
Soc_28.png,risk,"[90,1,1]",lower.png,117,20
Soc_55.png,risk,"[0,0.5,1]",upper.png,444,21
Soc_55.png,risk,"[0,0.5,1]",lower.png,444,22
Soc_28.png,risk,"[90,1,1]",lower.png,117,23
Soc_82.png,zero,"[90,1,1]",lower.png,771,24
Soc_37.png,risk,"[90,1,1]",upper.png,226,25
Soc_55.png,risk,"[0,0.5,1]",upper.png,444,26
Soc_28.png,risk,"[90,1,1]",upper.png,117,27
Soc_28.png,risk,"[90,1,1]",lower.png,117,28
Soc_46.png,risk,"[90,1,1]",upper.png,335,29
Soc_82.png,zero,"[90,1,1]",lower.png,771,30
Soc_28.png,risk,"[90,1,1]",upper.png,117,31
Soc_82.png,zero,"[90,1,1]",upper.png,771,32
Soc_28.png,risk,"[90,1,1]",upper.png,117,33
Soc_73.png,risk,"[90,1,1]",lower.png,662,34
Soc_64.png,risk,"[90,1,1]",lower.png,553,35
Soc_73.png,risk,"[90,1,1]",upper.png,662,36
Soc_73.png,risk,"[90,1,1]",lower.png,662,37
Soc_64.png,risk,"[90,1,1]",upper.png,553,38
Soc_82.png,zero,"[90,1,1]",lower.png,771,39
Soc_64.png,risk,"[90,1,1]",lower.png,553,40
Soc_64.png,risk,"[90,1,1]",upper.png,553,41
Soc_64.png,risk,"[90,1,1]",upper.png,553,42
Soc_55.png,risk,"[0,0.5,1]",upper.png,444,43
Soc_73.png,risk,"[90,1,1]",lower.png,662,44
